user_id,age,income,clicks,purchase_amount,session_duration,content_variety,engagement_score,num_transactions,avg_monthly_spend,avg_cart_value,browsing_depth,revisit_rate,scroll_activity,time_on_site,interaction_count,preferred_price_range,discount_usage_rate,wishlist_size,product_views,repeat_purchase_gap (days),churn_risk_score,loyalty_index,screen_brightness,battery_percentage,cart_abandonment_count,browser_version,background_app_count,session_inactivity_duration,network_jitter,region_code,subscriber,label
U8500,60,25997,13,500.0,3.19,0.4266,44.27638,5,86.7,136.87,2,0.358,23,33.0,12,540.92,0.243,7,72,102.0,0.4719023298954404,18.0,2.0,39.0,5,1.77.11,10,28.29,6.0,I034,False,user_2
U1200,48,26124,12,500.0,8.2,0.55381,55.25409,4,141.9,113.06,7,0.282,16,19.0,0,549.52,0.322,0,58,91.0,0.4169210085790634,16.0,2.3,17.0,3,1.96.89,9,13.65,69.0,J735,False,user_2
U9904,46,24226,12,2974.56,60.82,0.91777,100.0,7,638.5,383.07,32,0.649,171,60.0,21,2917.72,0.463,7,76,38.0,0.0,43.0,3.4,33.0,4,5.06.82,4,1.4,11.0,V957,False,user_1
U6282,32,23635,12,500.0,64.28,0.06987,0.0,4,289.68,109.43,38,0.131,186,67.0,24,300.98,0.264,0,43,180.0,1.0,9.0,2.0,52.0,2,9.81.95,6,0.35,11.0,P089,False,user_1
U6174,27,18165,9,500.0,14.99,0.4563,46.93174,9,190.26,62.77,10,0.369,52,11.0,15,450.27,0.265,4,45,107.0,0.5302964152614675,21.0,4.5,56.0,7,1.91.46,9,29.38,62.0,C595,True,user_2
U9503,,35312,17,1219.79,52.57,0.91374,96.47991,10,437.28,130.24,34,0.559,156,56.0,26,1385.18,0.484,2,78,36.0,0.0,32.0,2.8,84.0,6,3.62.99,7,23.43,56.0,E255,False,user_1
U4324,,20756,11,500.0,38.43,0.20861,15.50849,8,101.56,7.48,24,0.172,93,31.0,15,526.48,0.265,4,44,155.0,0.8313642959663357,6.0,3.0,7.0,5,8.34.96,15,7.94,10.0,Z001,False,user_3
U4992,,19108,10,500.0,0.0,0.48848,47.52936,6,173.42,85.72,1,0.386,0,7.0,9,542.45,0.198,3,56,114.0,0.49360913283258034,22.0,3.8,55.0,5,3.14.84,9,9.91,19.0,Q282,False,user_2
U6794,50,26618,13,879.87,42.21,0.76756,76.72605,9,172.46,123.0,22,0.486,128,44.0,13,970.34,0.407,4,61,67.0,0.2512796802543204,21.0,1.4,20.0,4,7.10.44,11,22.66,2.0,X123,True,user_3
U2222,,23182,11,770.15,37.13,0.74883,71.46838,6,505.27,136.39,20,0.47,113,27.0,24,686.14,0.265,5,68,71.0,0.2754702553397198,30.0,2.4,89.0,2,2.39.57,14,19.23,1.0,Z001,False,user_3
U1100,37,25727,12,3600.81,50.3,0.80329,75.68731,13,1314.57,320.74,32,0.478,151,55.0,5,3623.16,0.653,2,54,73.0,0.3130699599755927,36.0,3.8,69.0,4,1.36.99,10,19.8,46.0,D573,False,user_1
U9815,,21891,11,500.0,40.87,0.81268,86.05962,9,119.95,45.67,25,0.521,115,45.0,24,551.22,0.334,1,51,59.0,0.11284643956554552,26.0,2.7,29.0,1,4.61.36,4,11.21,11.0,X456,False,user_3
U7375,,10000,6,500.0,24.34,0.2968,27.46523,12,418.29,31.02,15,0.256,84,17.0,7,406.75,0.073,4,50,132.0,0.7026328586618651,17.0,1.6,59.0,7,6.22.93,6,25.13,18.0,Z999,False,user_3
U5710,29,15250,7,500.0,20.19,0.37393,41.86627,2,185.15,285.61,11,0.208,66,16.0,12,536.39,0.182,2,21,111.0,0.5600543234801075,10.0,3.1,87.0,2,3.23.09,7,21.24,14.0,B083,False,user_2
U2787,29,33450,15,3529.73,89.96,0.97611,100.0,4,948.61,1000.0,50,0.647,274,95.0,42,3659.27,0.663,2,67,47.0,0.0,42.0,2.0,16.0,5,7.74.46,9,21.81,11.0,T395,True,user_1
U7982,23,14172,6,500.0,38.11,0.2172,24.51608,7,70.6,47.67,19,0.195,119,49.0,17,459.93,0.205,1,0,148.0,0.788510702735532,8.0,4.6,33.0,5,2.48.59,4,5.91,13.0,X789,True,user_3
U6662,38,11080,5,1560.12,64.65,0.22111,24.11525,9,355.06,231.73,38,0.217,217,63.0,26,1387.88,0.22,0,20,156.0,0.7411593289563188,12.0,1.7,49.0,5,8.08.26,10,9.11,40.0,E550,False,user_1
U4315,19,10000,3,1729.67,54.4,0.35254,35.46942,3,1042.28,486.77,28,0.201,147,64.0,20,1746.93,0.215,0,21,133.0,0.6294873512131056,20.0,1.5,26.0,3,9.93.39,13,10.87,19.0,S398,False,user_1
U4659,57,35606,18,500.0,50.78,0.10533,0.28082,5,162.07,84.77,27,0.23,146,62.0,16,434.35,0.403,6,94,180.0,1.0,16.0,3.3,15.0,3,5.45.51,10,9.14,11.0,W212,True,user_1
U9464,,26558,13,500.0,14.32,0.43078,48.20009,7,177.44,86.29,15,0.368,37,27.0,3,518.11,0.288,1,66,93.0,0.48014503331132674,22.0,2.0,21.0,1,8.39.25,13,6.05,35.0,X789,False,user_3
U2530,,20241,10,558.55,46.51,0.8583,82.76982,5,102.21,133.59,27,0.52,158,51.0,22,474.34,0.251,7,41,47.0,0.19753028769149067,26.0,4.5,35.0,7,1.47.55,10,20.22,2.0,X456,False,user_3
U0748,,21120,11,1621.74,34.29,0.78216,77.34649,3,354.5,409.44,21,0.501,97,25.0,14,1627.84,0.418,3,53,69.0,0.21141771530905587,28.0,1.9,76.0,6,7.65.35,14,19.5,9.0,Z999,True,user_3
U7697,,12885,8,500.0,12.76,0.48417,42.30437,1,263.99,446.99,4,0.324,26,22.0,5,622.72,0.098,0,36,110.0,0.5408440511050687,18.0,3.0,98.0,6,1.45.29,15,16.49,10.0,X123,False,user_3
U2254,24,10000,3,500.0,1.64,0.50918,50.33952,4,225.63,97.82,2,0.309,3,0.0,7,497.22,0.144,1,14,103.0,0.42303887883862346,15.0,4.1,23.0,5,3.82.45,12,18.39,22.0,D897,False,user_2
U8774,46,23696,12,500.0,7.54,0.50729,51.43239,7,207.7,55.34,8,0.322,24,13.0,14,335.08,0.257,0,61,109.0,0.4415930708236373,16.0,1.4,82.0,4,5.62.60,6,29.18,61.0,N019,False,user_2
U5960,25,16914,7,4592.36,66.23,0.89053,89.96083,4,1749.56,1000.0,37,0.531,216,60.0,20,4629.93,0.63,2,31,46.0,0.09212691403811601,45.0,5.0,46.0,4,9.36.62,13,2.05,39.0,Y762,False,user_1
U5706,55,33470,17,579.91,43.19,0.84807,86.9681,5,73.66,100.15,28,0.632,123,37.0,23,581.9,0.363,4,85,52.0,0.12662362079303666,31.0,4.1,14.0,5,1.01.56,8,20.22,12.0,R530,True,user_2
U2426,,15746,8,500.0,33.94,0.22442,27.16336,9,396.32,32.39,22,0.289,91,27.0,5,521.32,0.148,4,39,149.0,0.7169988298809706,18.0,2.5,61.0,7,1.25.70,14,24.29,2.0,Z001,False,user_3
U8384,47,16473,8,500.0,6.81,0.451,49.2856,5,288.52,102.72,6,0.276,6,0.0,0,597.32,0.234,4,33,116.0,0.44794957252887524,15.0,3.0,40.0,2,7.34.39,5,13.1,15.0,C875,False,user_2
U7691,24,21383,9,500.0,15.94,0.49607,57.84027,5,135.48,102.41,6,0.406,42,10.0,4,447.49,0.402,3,45,93.0,0.41312463996351756,23.0,1.8,32.0,8,9.50.35,10,9.29,35.0,C319,False,user_2
U8397,,27917,14,500.0,33.95,0.7927,74.44865,3,103.72,191.59,19,0.495,140,24.0,20,471.2,0.324,9,57,77.0,0.19339198369166008,27.0,2.7,38.0,5,6.40.72,8,16.45,37.0,Z999,False,user_3
U5354,19,31152,17,500.0,7.0,0.53965,50.15159,1,306.41,554.75,10,0.43,26,13.0,7,397.06,0.325,2,86,98.0,0.4476879991615368,28.0,2.4,52.0,5,4.81.21,11,22.86,67.0,K871,True,user_2
U2426,20,16880,9,500.0,0.0,0.48196,50.03718,10,411.77,76.46,1,0.287,8,0.0,7,519.34,0.182,6,33,107.0,0.5430326687721353,21.0,2.4,51.0,7,1.70.09,5,25.96,5.0,A826,True,user_2
U5702,51,21865,9,500.0,9.78,0.50428,48.78834,8,156.76,74.73,7,0.333,29,3.0,7,516.71,0.315,6,44,111.0,0.5067106418381919,16.0,4.1,41.0,3,5.16.17,15,19.87,35.0,H160,False,user_2
U6099,50,31118,14,500.0,69.93,0.03697,0.0,5,238.71,74.16,39,0.156,211,70.0,33,474.03,0.317,5,74,179.0,1.0,8.0,4.2,13.0,9,6.95.25,8,19.31,7.0,Z533,True,user_1
U1949,34,29025,13,2292.49,51.57,0.52109,45.17952,2,1414.61,1000.0,29,0.307,166,70.0,25,2367.2,0.584,5,55,111.0,0.6042144629760382,30.0,2.6,53.0,3,3.77.42,7,26.87,29.0,N375,True,user_1
U9931,35,19658,9,510.36,14.88,0.43926,45.03122,6,74.08,101.01,12,0.388,53,8.0,4,406.69,0.166,5,55,105.0,0.5461112422344482,18.0,1.6,90.0,7,4.33.41,8,15.98,25.0,X727,False,user_2
U4137,37,19675,9,500.0,78.77,0.06022,0.0,10,76.84,63.24,48,0.013,241,65.0,33,512.7,0.256,1,62,180.0,1.0,2.0,1.4,41.0,8,5.55.53,7,10.83,22.0,S870,False,user_1
U1147,42,25772,13,500.0,6.74,0.4163,45.18766,7,125.28,116.27,7,0.383,20,0.0,4,560.11,0.341,2,58,101.0,0.5623289251335293,20.0,4.8,55.0,3,6.54.01,12,5.65,23.0,J624,False,user_2
U7644,,36037,17,606.28,37.72,0.80812,83.52859,5,515.62,114.93,25,0.466,107,29.0,21,552.07,0.459,3,83,54.0,0.13464942780067427,30.0,1.6,64.0,5,7.41.06,8,4.02,62.0,X789,False,user_3
U6466,35,30785,14,1947.12,54.68,0.92333,89.34631,5,690.79,502.19,34,0.574,170,48.0,21,1809.77,0.537,5,82,46.0,0.09946140346183631,37.0,3.7,44.0,6,8.35.61,14,11.16,0.0,K051,False,user_1
U0618,20,17938,8,500.0,64.03,0.87989,100.0,8,253.73,65.27,36,0.604,193,87.0,29,330.46,0.243,0,22,35.0,0.0,32.0,1.5,80.0,8,8.27.10,7,0.84,19.0,G397,False,user_2
U3667,38,24413,12,3220.91,28.19,0.8575,81.36143,8,1160.26,339.41,15,0.562,116,38.0,21,3236.44,0.624,1,60,50.0,0.20953273451578203,36.0,4.2,5.0,8,9.67.96,10,19.15,2.0,B349,False,user_1
U1008,,17894,9,1087.75,59.23,0.21543,24.10716,9,232.5,86.29,31,0.205,193,56.0,20,1257.15,0.238,0,41,146.0,0.7975009410210183,15.0,2.6,14.0,4,5.46.65,13,26.26,29.0,M254,False,user_1
U3879,,24966,13,500.0,21.81,0.31097,32.98034,9,369.81,26.74,17,0.283,55,40.0,10,439.03,0.267,0,74,135.0,0.6141914047228818,17.0,2.5,5.0,6,4.70.87,13,19.25,21.0,X456,False,user_3
U0537,35,26243,12,500.0,8.96,0.5141,46.72044,5,563.98,81.62,7,0.382,9,3.0,23,545.13,0.292,1,57,110.0,0.4963050025857564,25.0,1.3,94.0,2,8.28.48,13,29.43,0.0,X127,False,user_2
U0605,,28865,14,519.39,31.2,0.74369,72.46191,2,439.11,237.97,20,0.55,87,27.0,9,276.86,0.415,2,74,74.0,0.2597487189306099,32.0,4.9,12.0,6,7.07.68,8,27.73,15.0,Z001,False,user_3
U8177,,25034,12,500.0,18.23,0.34421,38.3724,5,502.08,104.19,12,0.381,38,14.0,6,537.33,0.324,3,51,124.0,0.5823372339347888,25.0,3.0,81.0,5,5.63.33,15,17.81,25.0,X123,False,user_3
U2808,31,13401,6,500.0,15.19,0.37487,41.72697,8,178.77,22.92,10,0.204,38,25.0,3,391.16,0.218,0,39,99.0,0.5720236386298196,11.0,1.8,11.0,2,2.15.17,7,3.91,40.0,V589,False,user_2
U7339,,27480,15,609.03,0.0,0.43494,47.98303,6,166.08,95.49,3,0.38,0,0.0,1,569.7,0.327,5,63,102.0,0.5333560892529579,18.0,1.7,45.0,4,9.38.12,14,5.88,21.0,X123,False,user_1
U8549,30,31281,14,3036.44,77.43,0.4464,37.40153,6,854.93,617.64,46,0.217,227,93.0,24,3044.33,0.657,10,78,139.0,0.6760952894359261,20.0,3.8,55.0,5,5.93.36,5,10.66,26.0,E004,True,user_1
U6849,39,23168,12,500.0,61.44,0.25665,30.33347,6,487.98,84.12,34,0.203,179,66.0,23,333.92,0.204,7,60,139.0,0.6751082287682735,17.0,2.0,79.0,5,3.73.67,10,5.12,4.0,K528,False,user_2
U0593,35,34740,17,3280.89,77.63,0.45982,53.03193,6,1328.34,718.83,48,0.4,235,87.0,34,3595.45,0.655,1,61,96.0,0.44625767825247814,33.0,3.1,17.0,3,3.00.60,8,12.43,34.0,S551,False,user_1
U8211,,16578,9,500.0,11.37,0.54433,56.38407,8,162.5,20.3,6,0.415,31,0.0,0,439.47,0.205,1,45,98.0,0.4497016126014721,22.0,1.9,66.0,3,9.24.43,12,29.84,24.0,X789,True,user_1
U3067,43,30410,15,500.0,12.28,0.39932,44.15666,7,158.35,99.97,10,0.347,23,0.0,7,560.7,0.33,0,81,119.0,0.5550200680772177,17.0,2.7,87.0,6,4.46.42,13,29.9,18.0,Z288,False,user_2
U6745,32,24116,12,500.0,62.31,0.03186,0.0,9,159.03,61.19,34,0.106,205,46.0,22,649.27,0.275,4,47,180.0,0.936286702560903,8.0,4.1,95.0,4,4.50.95,4,22.57,33.0,Q741,True,user_2
U9865,29,11467,7,500.0,2.52,0.53323,47.2893,4,59.38,139.13,2,0.321,13,0.0,0,529.32,0.192,2,26,106.0,0.49123670858691276,18.0,1.3,98.0,5,7.18.34,11,18.4,7.0,A875,False,user_2
U0540,37,14671,9,500.0,71.69,0.04557,0.0,5,395.28,91.54,39,0.056,206,56.0,30,377.23,0.209,3,45,176.0,0.9845974987649048,7.0,2.1,93.0,4,8.64.48,15,25.57,33.0,U691,True,user_1
U1454,32,15973,8,757.83,32.67,0.78798,82.78488,9,499.73,74.97,19,0.394,84,45.0,8,768.1,0.295,0,34,52.0,0.2018144338571837,23.0,4.7,36.0,5,9.47.31,6,28.87,74.0,X456,False,user_1
U8355,,27877,13,500.0,12.34,0.57829,58.01871,7,95.04,87.92,10,0.383,15,10.0,1,316.24,0.224,1,68,89.0,0.46275082464653483,20.0,3.7,21.0,5,7.51.14,13,25.47,13.0,O420,True,user_2
U7622,,21684,10,500.0,10.25,0.56074,54.7367,8,176.25,15.02,7,0.368,7,16.0,10,466.9,0.341,5,47,94.0,0.40870718467189215,20.0,4.6,43.0,5,3.83.83,12,19.53,14.0,B400,False,user_2
U9419,46,38251,18,500.0,51.65,0.82251,80.67311,4,126.36,146.25,35,0.607,170,47.0,32,667.69,0.4,6,76,60.0,0.16095784046207148,32.0,1.3,23.0,1,7.29.16,4,14.6,5.0,D249,False,user_1
U9944,33,17854,9,500.0,8.47,0.47874,47.09806,3,165.58,167.55,8,0.315,39,17.0,9,358.88,0.294,0,68,106.0,0.5620126725016878,15.0,4.5,93.0,6,9.51.06,5,11.25,51.0,P339,True,user_2
U0705,23,17542,9,500.0,6.21,0.5449,55.36927,1,263.0,377.12,4,0.389,9,0.0,0,417.58,0.205,0,41,97.0,0.4262951776673494,23.0,4.2,47.0,3,8.89.47,8,13.14,26.0,B700,True,user_2
U8896,45,18027,9,500.0,48.78,0.06287,0.37003,3,453.69,127.39,28,0.138,166,48.0,19,685.36,0.249,2,46,180.0,1.0,12.0,1.7,32.0,1,8.87.15,5,4.81,49.0,A377,True,user_1
U1998,32,22472,10,1726.82,40.7,0.55701,55.82128,11,1292.5,165.77,25,0.435,131,46.0,14,1709.4,0.344,2,67,90.0,0.4325867562058266,36.0,2.9,92.0,4,6.66.99,7,7.88,58.0,B200,False,user_1
U8552,,31475,14,500.0,47.06,0.84874,77.93196,3,139.38,160.32,30,0.538,144,53.0,21,410.63,0.304,0,78,65.0,0.2203718346825009,28.0,2.7,31.0,5,1.12.05,6,22.95,4.0,Z001,False,user_3
U6312,52,27329,14,500.0,11.32,0.42975,43.87387,5,442.32,105.97,6,0.303,46,8.0,15,538.92,0.352,3,75,106.0,0.5430950551701922,22.0,4.5,51.0,4,9.56.28,13,19.2,8.0,X123,False,user_3
U9970,,27718,14,500.0,31.73,0.26762,30.13938,3,209.43,160.28,21,0.228,104,15.0,17,453.12,0.194,2,80,141.0,0.7416674604659029,13.0,3.7,47.0,8,6.25.31,12,9.47,11.0,X123,False,user_3
U9817,28,24905,12,1686.41,57.91,0.30575,32.84544,8,419.76,249.77,31,0.227,176,68.0,23,1414.81,0.357,1,65,139.0,0.607877935229895,18.0,4.0,84.0,1,2.87.61,6,15.41,61.0,O083,True,user_1
U2722,,17719,9,500.0,28.26,0.31685,38.72433,8,205.53,29.63,18,0.23,81,24.0,10,363.95,0.266,1,50,116.0,0.5952784213837625,14.0,4.7,50.0,5,6.32.64,7,11.18,46.0,Z001,True,user_3
U5203,,17088,9,500.0,35.29,0.22214,26.05097,5,103.43,94.85,23,0.225,104,32.0,18,705.7,0.2,3,50,136.0,0.7788285996745773,10.0,2.4,37.0,3,8.60.84,12,7.17,22.0,X789,False,user_3
U9606,,13998,7,500.0,42.26,0.22614,33.5009,8,407.66,0.0,25,0.332,102,64.0,15,532.81,0.146,2,33,134.0,0.6548343546911307,22.0,1.5,14.0,4,4.77.06,14,3.19,10.0,Z001,True,user_3
U7761,,20668,11,500.0,4.06,0.51399,53.32801,1,167.05,538.53,1,0.387,0,5.0,0,646.37,0.333,7,65,98.0,0.46044030867487057,20.0,2.9,55.0,3,8.56.27,15,15.93,12.0,Q759,False,user_2
U5409,24,36810,17,2719.6,78.93,0.96613,100.0,8,1772.93,315.91,43,0.666,263,74.0,25,2616.68,0.734,5,91,40.0,0.03646414592101647,50.0,4.8,67.0,5,8.60.90,5,18.87,3.0,E124,False,user_1
U7140,,25197,11,500.0,59.63,0.15718,16.52824,9,237.09,72.61,36,0.241,166,54.0,20,494.5,0.302,5,32,147.0,0.851303997977488,16.0,3.8,27.0,9,7.13.98,11,0.05,8.0,O302,False,user_1
U1063,,19682,10,500.0,43.0,0.16482,20.06405,5,144.63,167.44,20,0.159,101,49.0,19,483.11,0.311,0,58,157.0,0.8311940300959457,7.0,1.3,67.0,10,7.85.21,15,1.14,19.0,X123,True,user_3
U7246,40,25576,11,500.0,8.14,0.57833,53.17574,7,68.64,26.51,7,0.428,37,0.0,15,445.27,0.382,3,47,116.0,0.5141088923969694,19.0,4.9,47.0,9,7.20.64,14,5.6,10.0,O446,True,user_2
U8654,42,26034,13,500.0,61.15,0.76539,76.60625,6,198.34,83.1,38,0.561,187,66.0,29,521.02,0.31,2,67,68.0,0.17416918887381988,30.0,3.3,6.0,10,1.06.97,4,22.5,32.0,N578,False,user_1
U4361,47,24861,13,512.19,51.94,0.89436,83.26239,5,197.33,74.51,33,0.549,160,63.0,21,400.71,0.274,6,48,51.0,0.14701474425857966,30.0,2.7,6.0,6,2.74.69,4,22.01,12.0,X863,False,user_1
U1308,18,25622,12,500.0,15.75,0.46353,45.24049,7,220.26,96.94,10,0.451,44,15.0,17,620.95,0.311,4,54,107.0,0.512544011296894,26.0,3.1,8.0,1,4.03.85,15,12.53,51.0,A899,True,user_2
U0997,35,24401,13,500.0,80.69,0.0567,0.0,5,490.64,77.74,47,0.186,255,91.0,28,546.73,0.221,8,61,179.0,1.0,14.0,3.2,43.0,4,6.14.56,6,29.95,41.0,F340,False,user_1
U1770,,15497,7,500.0,17.25,0.42215,38.55685,3,124.12,204.77,11,0.265,74,17.0,9,482.59,0.233,0,40,127.0,0.6538023120192046,10.0,4.7,82.0,9,4.60.04,5,15.17,26.0,X789,False,user_3
